commentId,text,time,isLiked,likeCount,author,channel,votes,photo,authorIsChannelOwner
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9Clql8lGUa3,"@Martin Erba ACA TENES ALGO CONTUNDENTE ,PAPA !!! SE PARA BIEN  DURO !!",Hace 1 semana,False,0,Soy Tu Abuelito Cosquillas,UCK_Z6cSNZrtdlG0PlqGErmw,0,https://yt3.ggpht.com/a/AATXAJxzvdasXa16ldz4ypSUrN-5bEHuQDGCVN5-B8GnQw=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9ClqmRZh79n,@Miguel Gaston Loza ANDA A LA SEXOLOGA !!,Hace 1 semana,False,0,Soy Tu Abuelito Cosquillas,UCK_Z6cSNZrtdlG0PlqGErmw,0,https://yt3.ggpht.com/a/AATXAJxzvdasXa16ldz4ypSUrN-5bEHuQDGCVN5-B8GnQw=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9ClqnkhtFid,@Naty AP JAJAJAJAJAJAJA !!!!,Hace 1 semana,False,0,Soy Tu Abuelito Cosquillas,UCK_Z6cSNZrtdlG0PlqGErmw,0,https://yt3.ggpht.com/a/AATXAJxzvdasXa16ldz4ypSUrN-5bEHuQDGCVN5-B8GnQw=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9ClqoEkGu5T,@Naty AP CON LA COLA !!!,Hace 1 semana,False,0,Soy Tu Abuelito Cosquillas,UCK_Z6cSNZrtdlG0PlqGErmw,0,https://yt3.ggpht.com/a/AATXAJxzvdasXa16ldz4ypSUrN-5bEHuQDGCVN5-B8GnQw=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9ClqqBTs9X0,"@Naty AP TRES FUNCIONES ? VIENE BIEN EL CIRCO HEEE ,JAJA !!",Hace 1 semana,False,0,Soy Tu Abuelito Cosquillas,UCK_Z6cSNZrtdlG0PlqGErmw,0,https://yt3.ggpht.com/a/AATXAJxzvdasXa16ldz4ypSUrN-5bEHuQDGCVN5-B8GnQw=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9ClqrPPveQ8,"@Fabian Bolado AGGGGGGGGGGGJAJAJAJAJAJAAAAA,URGENTE NESECITAS PONERLA",Hace 1 semana,False,0,Soy Tu Abuelito Cosquillas,UCK_Z6cSNZrtdlG0PlqGErmw,0,https://yt3.ggpht.com/a/AATXAJxzvdasXa16ldz4ypSUrN-5bEHuQDGCVN5-B8GnQw=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9Clusq6rNsq,@Soy Tu Abuelito Cosquillas 😮😮😮😮,Hace 1 semana,False,0,Naty AP,UCcA69R9Ovoxp55cguoT-jOw,0,https://yt3.ggpht.com/a/AATXAJzFCCZvGPJR8tuQJscFPEGxJ85HZYB1Ei4p=s48-c-k-c0xffffffff-no-rj-mo,False
UgxmKAx59p0XaoqLdet4AaABAg.9Cg2CChW75B9ClwJ54VMFh,@Soy Tu Abuelito Cosquillas vos recomendarme a la tuya🤣🤣,Hace 1 semana,False,0,Miguel Gaston Loza,UCvWJqHZ1sRewTW59_ROXREg,0,https://yt3.ggpht.com/a/AATXAJxdOZ_lV6_w0O-NKxQHfI15XEjWLbLz7_KQVQ=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9ChwVFH4sZu,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Hace 1 semana,False,2,Ariel Zarate,UCtNCQ_ZHD0fRmy8q6ypCM2w,2,https://yt3.ggpht.com/a/AATXAJx_slctr1qmXA3BT5w3RbPl2n_8lL_xvJNwipolwQ=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CiRHkkUWud,@Maury HDS ojo que estos tipos son locos pero locos malos .te lavan el bocho maury y terminas siendo mas boludos que ellos,Hace 1 semana,False,1,josr peres,UCRz00hgh6Of629haMfcPSrw,1,https://yt3.ggpht.com/a/AATXAJwbSD4oW-Spn9zgNexI52djb1h3sx_plSV6Gg=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CiY5pw5juK,@josr peres De quienes hablas? Los K y peronchos? Si esos seguro que te adoKtrinan...,Hace 1 semana,False,3,Maury HDS,UCo3L0zeffuqM1zm0M5oGRbA,3,https://yt3.ggpht.com/a/AATXAJzji6IzvDKZ0PAXoV6P1_3TG5OyzgXHBOO0ywCC=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CkNriyh6w3,"Lo que dice el comunicador periodista  de los fallecidos por Covid, en Brasil pasa lo mismo y para perjudicar al Presidente ,no todos Fallecieron  de Covid,,,como el Presidente respecta y cree en la Libertad de su Pueblo, desinforman la realidad,,  por lo que veo ahí es para mantener la cuarentena, que los cuentan todo por Coronavirus,,acá en mi País Uruguay hay pocos fallecidos de Covid  pero todos estaban enfermos tenían una patología,,,pero al estar con defenza baja contraen el virus,yo tengo un padre de 80 años y mi corazón vive por la boca ,porque no quiero que el salga ,que se cuide,,,,el Presidente aca también respecta la libertad responsable del Pueblo, ,pero teniendo este Presidente hay inconscientes que no se cuidan ,fuerza Hermanos , no pierdan la Fe nunca,,no pierdan la Esperanza nunca ,Dios los ayude ,,yo no voy a la iglesia, pero creo en el ,,hay en aquellos gobernantes que desobedecen a Dios y castiga a su pueblo",Hace 1 semana (editado),False,2,Yanet Modornel,UCz0OStIrgCb0JyuN0vBCi0g,2,https://yt3.ggpht.com/a/AATXAJxu1j5O6QeEvzsQ0BdNIBDr_FWGrsLJrl5lYQ=s48-c-k-c0xffffffff-no-rj-mo,False
